organization_id,source_system,source_record_id,customer_id,company_id,customer_since,status,country,source_updated_at,ingested_at,normalized_at
org_northstar_001,stripe,stripe_customer_1,cus_00001,cmp_0140,2025-01-15,active,SG,2026-08-31T15:00:00Z,2026-08-31T15:03:00Z,2026-08-31T15:05:00Z
org_northstar_001,stripe,stripe_customer_2,cus_00002,cmp_0224,2025-01-07,active,SG,2026-08-31T15:00:00Z,2026-08-31T15:03:00Z,2026-08-31T15:05:00Z
org_northstar_001,stripe,stripe_customer_3,cus_00003,cmp_0258,2025-01-06,canceled,DE,2025-10-13T15:00:00Z,2025-10-13T15:03:00Z,2025-10-13T15:05:00Z
org_northstar_001,stripe,stripe_customer_4,cus_00004,cmp_0245,2025-01-19,active,SG,2026-08-31T15:00:00Z,2026-08-31T15:03:00Z,2026-08-31T15:05:00Z
org_northstar_001,stripe,stripe_customer_5,cus_00005,cmp_0274,2025-01-28,active,DE,2026-08-31T15:00:00Z,2026-08-31T15:03:00Z,2026-08-31T15:05:00Z
org_northstar_001,stripe,stripe_customer_6,cus_00006,cmp_0009,2025-01-16,active,US,2026-08-31T15:00:00Z,2026-08-31T15:03:00Z,2026-08-31T15:05:00Z
org_northstar_001,stripe,stripe_customer_7,cus_00007,cmp_0189,2025-01-19,active,SG,2026-08-31T15:00:00Z,2026-08-31T15:03:00Z,2026-08-31T15:05:00Z
org_northstar_001,stripe,stripe_customer_8,cus_00008,cmp_0275,2025-01-04,active,CA,2026-08-31T15:00:00Z,2026-08-31T15:03:00Z,2026-08-31T15:05:00Z
org_northstar_001,stripe,stripe_customer_9,cus_00009,cmp_0292,2025-01-02,active,DE,2026-08-31T15:00:00Z,2026-08-31T15:03:00Z,2026-08-31T15:05:00Z
org_northstar_001,stripe,stripe_customer_10,cus_00010,cmp_0014,2025-01-28,active,AU,2026-08-31T15:00:00Z,2026-08-31T15:03:00Z,2026-08-31T15:05:00Z
org_northstar_001,stripe,stripe_customer_11,cus_00011,cmp_0210,2025-01-20,active,SG,2026-08-31T15:00:00Z,2026-08-31T15:03:00Z,2026-08-31T15:05:00Z
org_northstar_001,stripe,stripe_customer_12,cus_00012,cmp_0008,2025-01-28,active,GB,2026-08-31T15:00:00Z,2026-08-31T15:03:00Z,2026-08-31T15:05:00Z
org_northstar_001,stripe,stripe_customer_13,cus_00013,cmp_0240,2025-01-13,active,US,2026-08-31T15:00:00Z,2026-08-31T15:03:00Z,2026-08-31T15:05:00Z
org_northstar_001,stripe,stripe_customer_14,cus_00014,cmp_0088,2025-01-03,active,CA,2026-08-31T15:00:00Z,2026-08-31T15:03:00Z,2026-08-31T15:05:00Z
