organization_id,source_system,source_record_id,subscription_id,customer_id,plan,monthly_recurring_revenue_usd,status,start_date,cancel_date,source_updated_at,ingested_at,normalized_at
org_northstar_001,stripe,stripe_subscription_1,sub_00001,cus_00001,Enterprise,3999,active,2025-01-15,,2026-08-31T15:00:00Z,2026-08-31T15:03:00Z,2026-08-31T15:05:00Z
org_northstar_001,stripe,stripe_subscription_2,sub_00002,cus_00002,Scale,1999,active,2025-01-07,,2026-08-31T15:00:00Z,2026-08-31T15:03:00Z,2026-08-31T15:05:00Z
org_northstar_001,stripe,stripe_subscription_3,sub_00003,cus_00003,Growth,999,canceled,2025-01-06,2025-10-13,2025-10-13T15:00:00Z,2025-10-13T15:03:00Z,2025-10-13T15:05:00Z
org_northstar_001,stripe,stripe_subscription_4,sub_00004,cus_00004,Growth,999,active,2025-01-19,,2026-08-31T15:00:00Z,2026-08-31T15:03:00Z,2026-08-31T15:05:00Z
org_northstar_001,stripe,stripe_subscription_5,sub_00005,cus_00005,Scale,1999,active,2025-01-28,,2026-08-31T15:00:00Z,2026-08-31T15:03:00Z,2026-08-31T15:05:00Z
org_northstar_001,stripe,stripe_subscription_6,sub_00006,cus_00006,Starter,499,active,2025-01-16,,2026-08-31T15:00:00Z,2026-08-31T15:03:00Z,2026-08-31T15:05:00Z
org_northstar_001,stripe,stripe_subscription_7,sub_00007,cus_00007,Starter,499,active,2025-01-19,,2026-08-31T15:00:00Z,2026-08-31T15:03:00Z,2026-08-31T15:05:00Z
org_northstar_001,stripe,stripe_subscription_8,sub_00008,cus_00008,Starter,499,active,2025-01-04,,2026-08-31T15:00:00Z,2026-08-31T15:03:00Z,2026-08-31T15:05:00Z
org_northstar_001,stripe,stripe_subscription_9,sub_00009,cus_00009,Enterprise,3999,active,2025-01-02,,2026-08-31T15:00:00Z,2026-08-31T15:03:00Z,2026-08-31T15:05:00Z
org_northstar_001,stripe,stripe_subscription_10,sub_00010,cus_00010,Starter,499,active,2025-01-28,,2026-08-31T15:00:00Z,2026-08-31T15:03:00Z,2026-08-31T15:05:00Z
org_northstar_001,stripe,stripe_subscription_11,sub_00011,cus_00011,Growth,999,active,2025-01-20,,2026-08-31T15:00:00Z,2026-08-31T15:03:00Z,2026-08-31T15:05:00Z
org_northstar_001,stripe,stripe_subscription_12,sub_00012,cus_00012,Growth,999,active,2025-01-28,,2026-08-31T15:00:00Z,2026-08-31T15:03:00Z,2026-08-31T15:05:00Z
org_northstar_001,stripe,stripe_subscription_13,sub_00013,cus_00013,Starter,499,active,2025-01-13,,2026-08-31T15:00:00Z,2026-08-31T15:03:00Z,2026-08-31T15:05:00Z
org_northstar_001,stripe,stripe_subscription_14,sub_00014,cus_00014,Starter,499,active,2025-01-03,,2026-08-31T15:00:00Z,2026-08-31T15:03:00Z,2026-08-31T15:05:00Z
org_northstar_001,stripe,stripe_subscription_15,sub_00015,cus_00015,Growth,999,active,2025-01-06,,2026-08-31T15:00:00Z,2026-08-31T15:03:00Z,2026-08-31T15:05:00Z
org_northstar_001,stripe,stripe_subscription_16,sub_00016,cus_00016,Growth,999,active,2025-01-04,,2026-08-31T15:00:00Z,2026-08-31T15:03:00Z,2026-08-31T15:05:00Z
org_northstar_001,stripe,stripe_subscription_17,sub_00017,cus_00017,Growth,999,canceled,2025-01-12,2025-11-06,2025-11-06T15:00:00Z,2025-11-06T15:03:00Z,2025-11-06T15:05:00Z
org_northstar_001,stripe,stripe_subscription_18,sub_00018,cus_00018,Growth,999,active,2025-01-11,,2026-08-31T15:00:00Z,2026-08-31T15:03:00Z,2026-08-31T15:05:00Z
org_northstar_001,stripe,stripe_subscription_19,sub_00019,cus_00019,Starter,499,active,2025-01-21,,2026-08-31T15:00:00Z,2026-08-31T15:03:00Z,2026-08-31T15:05:00Z
org_northstar_001,stripe,stripe_subscription_20,sub_00020,cus_00020,Scale,1999,active,2025-01-02,,2026-08-31T15:00:00Z,2026-08-31T15:03:00Z,2026-08-31T15:05:00Z
org_northstar_001,stripe,stripe_subscription_21,sub_00021,cus_00021,Scale,1999,active,2025-01-25,,2026-08-31T15:00:00Z,2026-08-31T15:03:00Z,2026-08-31T15:05:00Z
org_northstar_001,stripe,stripe_subscription_22,sub_00022,cus_00022,Starter,499,active,2025-01-28,,2026-08-31T15:00:00Z,2026-08-31T15:03:00Z,2026-08-31T15:05:00Z
org_northstar_001,stripe,stripe_subscription_23,sub_00023,cus_00023,Enterprise,3999,active,2025-01-24,,2026-08-31T15:00:00Z,2026-08-31T15:03:00Z,2026-08-31T15:05:00Z
org_northstar_001,stripe,stripe_subscription_24,sub_00024,cus_00024,Enterprise,3999,active,2025-01-06,,2026-08-31T15:00:00Z,2026-08-31T15:03:00Z,2026-08-31T15:05:00Z
org_northstar_001,stripe,stripe_subscription_25,sub_00025,cus_00025,Starter,499,active,2025-02-27,,2026-08-31T15:00:00Z,2026-08-31T15:03:00Z,2026-08-31T15:05:00Z
org_northstar_001,stripe,stripe_subscription_26,sub_00026,cus_00026,Growth,999,active,2025-02-03,,2026-08-31T15:00:00Z,2026-08-31T15:03:00Z,2026-08-31T15:05:00Z
org_northstar_001,stripe,stripe_subscription_27,sub_00027,cus_00027,Growth,999,active,2025-02-28,,2026-08-31T15:00:00Z,2026-08-31T15:03:00Z,2026-08-31T15:05:00Z
org_northstar_001,stripe,stripe_subscription_28,sub_00028,cus_00028,Growth,999,active,2025-02-19,,2026-08-31T15:00:00Z,2026-08-31T15:03:00Z,2026-08-31T15:05:00Z
org_northstar_001,stripe,stripe_subscription_29,sub_00029,cus_00029,Starter,499,active,2025-02-06,,2026-08-31T15:00:00Z,2026-08-31T15:03:00Z,2026-08-31T15:05:00Z
org_northstar_001,stripe,stripe_subscription_30,sub_00030,cus_00030,Scale,1999,active,2025-02-22,,2026-08-31T15:00:00Z,2026-08-31T15:03:00Z,2026-08-31T15:05:00Z
