organization_id,source_system,source_record_id,payment_id,customer_id,subscription_id,payment_date,amount_usd,status,payment_method,refund_amount_usd,source_updated_at,ingested_at,normalized_at
org_northstar_001,stripe,stripe_payment_1,pay_000001,cus_00001,sub_00001,2025-01-15,3999,succeeded,ach,0,2025-01-15T16:00:00Z,2025-01-15T16:02:00Z,2025-01-15T16:04:00Z
org_northstar_001,stripe,stripe_payment_2,pay_000002,cus_00001,sub_00001,2025-02-05,3999,succeeded,card,0,2025-02-05T16:00:00Z,2025-02-05T16:02:00Z,2025-02-05T16:04:00Z
org_northstar_001,stripe,stripe_payment_3,pay_000003,cus_00001,sub_00001,2025-03-05,3999,succeeded,card,0,2025-03-05T16:00:00Z,2025-03-05T16:02:00Z,2025-03-05T16:04:00Z
org_northstar_001,stripe,stripe_payment_4,pay_000004,cus_00001,sub_00001,2025-04-03,3999,succeeded,ach,0,2025-04-03T16:00:00Z,2025-04-03T16:02:00Z,2025-04-03T16:04:00Z
org_northstar_001,stripe,stripe_payment_5,pay_000005,cus_00001,sub_00001,2025-05-04,3999,succeeded,ach,0,2025-05-04T16:00:00Z,2025-05-04T16:02:00Z,2025-05-04T16:04:00Z
org_northstar_001,stripe,stripe_payment_6,pay_000006,cus_00001,sub_00001,2025-06-04,3999,succeeded,card,0,2025-06-04T16:00:00Z,2025-06-04T16:02:00Z,2025-06-04T16:04:00Z
org_northstar_001,stripe,stripe_payment_7,pay_000007,cus_00001,sub_00001,2025-07-02,3999,failed,ach,0,2025-07-02T16:00:00Z,2025-07-02T16:02:00Z,2025-07-02T16:04:00Z
org_northstar_001,stripe,stripe_payment_8,pay_000008,cus_00001,sub_00001,2025-08-01,3999,succeeded,ach,0,2025-08-01T16:00:00Z,2025-08-01T16:02:00Z,2025-08-01T16:04:00Z
org_northstar_001,stripe,stripe_payment_9,pay_000009,cus_00001,sub_00001,2025-09-03,3999,succeeded,ach,0,2025-09-03T16:00:00Z,2025-09-03T16:02:00Z,2025-09-03T16:04:00Z
org_northstar_001,stripe,stripe_payment_10,pay_000010,cus_00001,sub_00001,2025-10-01,3999,succeeded,ach,0,2025-10-01T16:00:00Z,2025-10-01T16:02:00Z,2025-10-01T16:04:00Z
